data,valor,indicador,data_coleta
01/10/2024,0.56,IPCA,2026-06-26 21:36:43
01/11/2024,0.39,IPCA,2026-06-26 21:36:43
01/12/2024,0.52,IPCA,2026-06-26 21:36:43
01/01/2025,0.16,IPCA,2026-06-26 21:36:43
01/02/2025,1.31,IPCA,2026-06-26 21:36:43
01/03/2025,0.56,IPCA,2026-06-26 21:36:43
01/04/2025,0.43,IPCA,2026-06-26 21:36:43
01/05/2025,0.26,IPCA,2026-06-26 21:36:43
01/06/2025,0.24,IPCA,2026-06-26 21:36:43
01/07/2025,0.26,IPCA,2026-06-26 21:36:43
01/08/2025,-0.11,IPCA,2026-06-26 21:36:43
01/09/2025,0.48,IPCA,2026-06-26 21:36:43
01/10/2025,0.09,IPCA,2026-06-26 21:36:43
01/11/2025,0.18,IPCA,2026-06-26 21:36:43
01/12/2025,0.33,IPCA,2026-06-26 21:36:43
01/01/2026,0.33,IPCA,2026-06-26 21:36:43
01/02/2026,0.7,IPCA,2026-06-26 21:36:43
01/03/2026,0.88,IPCA,2026-06-26 21:36:43
01/04/2026,0.67,IPCA,2026-06-26 21:36:43
01/05/2026,0.58,IPCA,2026-06-26 21:36:43
17/07/2026,14.25,SELIC,2026-06-26 21:36:44
18/07/2026,14.25,SELIC,2026-06-26 21:36:44
19/07/2026,14.25,SELIC,2026-06-26 21:36:44
20/07/2026,14.25,SELIC,2026-06-26 21:36:44
21/07/2026,14.25,SELIC,2026-06-26 21:36:44
22/07/2026,14.25,SELIC,2026-06-26 21:36:44
23/07/2026,14.25,SELIC,2026-06-26 21:36:44
24/07/2026,14.25,SELIC,2026-06-26 21:36:44
25/07/2026,14.25,SELIC,2026-06-26 21:36:44
26/07/2026,14.25,SELIC,2026-06-26 21:36:44
27/07/2026,14.25,SELIC,2026-06-26 21:36:44
28/07/2026,14.25,SELIC,2026-06-26 21:36:44
29/07/2026,14.25,SELIC,2026-06-26 21:36:44
30/07/2026,14.25,SELIC,2026-06-26 21:36:44
31/07/2026,14.25,SELIC,2026-06-26 21:36:44
01/08/2026,14.25,SELIC,2026-06-26 21:36:44
02/08/2026,14.25,SELIC,2026-06-26 21:36:44
03/08/2026,14.25,SELIC,2026-06-26 21:36:44
04/08/2026,14.25,SELIC,2026-06-26 21:36:44
05/08/2026,14.25,SELIC,2026-06-26 21:36:44
01/10/2024,1044783.5,PIB,2026-06-26 21:36:45
01/11/2024,1019462.8,PIB,2026-06-26 21:36:45
01/12/2024,999476.9,PIB,2026-06-26 21:36:45
01/01/2025,957383.9,PIB,2026-06-26 21:36:45
01/02/2025,995276.2,PIB,2026-06-26 21:36:45
01/03/2025,1072062.7,PIB,2026-06-26 21:36:45
01/04/2025,1087637.4,PIB,2026-06-26 21:36:45
01/05/2025,1061998.2,PIB,2026-06-26 21:36:45
01/06/2025,1050709.4,PIB,2026-06-26 21:36:45
01/07/2025,1094413.0,PIB,2026-06-26 21:36:45
01/08/2025,1065908.9,PIB,2026-06-26 21:36:45
01/09/2025,1075385.6,PIB,2026-06-26 21:36:45
01/10/2025,1109113.2,PIB,2026-06-26 21:36:45
01/11/2025,1084252.2,PIB,2026-06-26 21:36:45
01/12/2025,1084424.7,PIB,2026-06-26 21:36:45
01/01/2026,1027025.9,PIB,2026-06-26 21:36:45
01/02/2026,1051261.2,PIB,2026-06-26 21:36:45
01/03/2026,1172691.8,PIB,2026-06-26 21:36:45
01/04/2026,1145657.0,PIB,2026-06-26 21:36:45
01/05/2026,1142240.6,PIB,2026-06-26 21:36:45
29/05/2026,5.0569,DÓLAR,2026-06-26 21:36:45
01/06/2026,5.0303,DÓLAR,2026-06-26 21:36:45
02/06/2026,5.016,DÓLAR,2026-06-26 21:36:45
03/06/2026,5.0415,DÓLAR,2026-06-26 21:36:45
05/06/2026,5.1244,DÓLAR,2026-06-26 21:36:45
08/06/2026,5.1695,DÓLAR,2026-06-26 21:36:45
09/06/2026,5.1693,DÓLAR,2026-06-26 21:36:45
10/06/2026,5.1763,DÓLAR,2026-06-26 21:36:45
11/06/2026,5.1478,DÓLAR,2026-06-26 21:36:45
12/06/2026,5.0827,DÓLAR,2026-06-26 21:36:45
15/06/2026,5.043,DÓLAR,2026-06-26 21:36:45
16/06/2026,5.078,DÓLAR,2026-06-26 21:36:45
17/06/2026,5.0641,DÓLAR,2026-06-26 21:36:45
18/06/2026,5.1613,DÓLAR,2026-06-26 21:36:45
19/06/2026,5.1442,DÓLAR,2026-06-26 21:36:45
22/06/2026,5.1395,DÓLAR,2026-06-26 21:36:45
23/06/2026,5.1743,DÓLAR,2026-06-26 21:36:45
24/06/2026,5.2098,DÓLAR,2026-06-26 21:36:45
25/06/2026,5.1892,DÓLAR,2026-06-26 21:36:45
26/06/2026,5.1695,DÓLAR,2026-06-26 21:36:45
01/10/2024,40.5,COMMODITIES,2026-06-26 21:36:46
01/11/2024,34.2,COMMODITIES,2026-06-26 21:36:46
01/12/2024,61.0,COMMODITIES,2026-06-26 21:36:46
01/01/2025,26.8,COMMODITIES,2026-06-26 21:36:46
01/02/2025,25.0,COMMODITIES,2026-06-26 21:36:46
01/03/2025,33.3,COMMODITIES,2026-06-26 21:36:46
01/04/2025,49.0,COMMODITIES,2026-06-26 21:36:46
01/05/2025,30.6,COMMODITIES,2026-06-26 21:36:46
01/06/2025,64.6,COMMODITIES,2026-06-26 21:36:46
01/07/2025,48.7,COMMODITIES,2026-06-26 21:36:46
01/08/2025,35.2,COMMODITIES,2026-06-26 21:36:46
01/09/2025,54.7,COMMODITIES,2026-06-26 21:36:46
01/10/2025,105.6,COMMODITIES,2026-06-26 21:36:46
01/11/2025,53.8,COMMODITIES,2026-06-26 21:36:46
01/12/2025,59.1,COMMODITIES,2026-06-26 21:36:46
01/01/2026,34.7,COMMODITIES,2026-06-26 21:36:46
01/02/2026,31.1,COMMODITIES,2026-06-26 21:36:46
01/03/2026,37.5,COMMODITIES,2026-06-26 21:36:46
01/04/2026,32.3,COMMODITIES,2026-06-26 21:36:46
01/05/2026,45.9,COMMODITIES,2026-06-26 21:36:46
01/10/2024,1.52,IGP-M,2026-06-26 21:36:46
01/11/2024,1.3,IGP-M,2026-06-26 21:36:46
01/12/2024,0.94,IGP-M,2026-06-26 21:36:46
01/01/2025,0.27,IGP-M,2026-06-26 21:36:46
01/02/2025,1.06,IGP-M,2026-06-26 21:36:46
01/03/2025,-0.34,IGP-M,2026-06-26 21:36:46
01/04/2025,0.24,IGP-M,2026-06-26 21:36:46
01/05/2025,-0.49,IGP-M,2026-06-26 21:36:46
01/06/2025,-1.67,IGP-M,2026-06-26 21:36:46
01/07/2025,-0.77,IGP-M,2026-06-26 21:36:46
01/08/2025,0.36,IGP-M,2026-06-26 21:36:46
01/09/2025,0.42,IGP-M,2026-06-26 21:36:46
01/10/2025,-0.36,IGP-M,2026-06-26 21:36:46
01/11/2025,0.27,IGP-M,2026-06-26 21:36:46
01/12/2025,-0.01,IGP-M,2026-06-26 21:36:46
01/01/2026,0.41,IGP-M,2026-06-26 21:36:46
01/02/2026,-0.73,IGP-M,2026-06-26 21:36:46
01/03/2026,0.52,IGP-M,2026-06-26 21:36:46
01/04/2026,2.73,IGP-M,2026-06-26 21:36:46
01/05/2026,0.84,IGP-M,2026-06-26 21:36:46
